Record: Uganda (UGA), indicator=Total_Population
Uganda observed population_year2000=24000150 persons.
Uganda observed population_year2001=24745676 persons.
Uganda observed population_year2002=25532870 persons.
Uganda observed population_year2003=26352124 persons.
Uganda observed population_year2004=27154515 persons.
Uganda observed population_year2005=27963289 persons.
Uganda observed population_year2006=28794003 persons.
Uganda observed population_year2007=29653430 persons.
Uganda observed population_year2008=30539553 persons.
Uganda observed population_year2009=31451151 persons.
Uganda observed population_year2010=32390802 persons.
Uganda observed population_year2011=33354543 persons.
Uganda observed population_year2012=34337438 persons.
Uganda observed population_year2013=35337042 persons.
Uganda observed population_year2014=36395539 persons.
Uganda observed population_year2015=37531446 persons.
Uganda observed population_year2016=38799152 persons.
Uganda observed population_year2017=40177388 persons.
Uganda observed population_year2018=41565831 persons.
Uganda observed population_year2019=42999637 persons.
Uganda observed population_year2020=44457152 persons.
Uganda observed population_year2021=45910930 persons.
Uganda observed population_year2022=47312719 persons.
Uganda observed population_year2023=48656601 persons.
