Record: Ukraine (UKR), indicator=Total_Population
Ukraine observed population_year2000=49556660 persons.
Ukraine observed population_year2001=49106855 persons.
Ukraine observed population_year2002=48677281 persons.
Ukraine observed population_year2003=48315136 persons.
Ukraine observed population_year2004=47979507 persons.
Ukraine observed population_year2005=47585556 persons.
Ukraine observed population_year2006=47278694 persons.
Ukraine observed population_year2007=47062798 persons.
Ukraine observed population_year2008=46819175 persons.
Ukraine observed population_year2009=46623731 persons.
Ukraine observed population_year2010=46456003 persons.
Ukraine observed population_year2011=46307853 persons.
Ukraine observed population_year2012=46210056 persons.
Ukraine observed population_year2013=46126770 persons.
Ukraine observed population_year2014=45972380 persons.
Ukraine observed population_year2015=45784896 persons.
Ukraine observed population_year2016=45616832 persons.
Ukraine observed population_year2017=45436041 persons.
Ukraine observed population_year2018=45208907 persons.
Ukraine observed population_year2019=44957458 persons.
Ukraine observed population_year2020=44680014 persons.
Ukraine observed population_year2021=44298640 persons.
Ukraine observed population_year2022=41048766 persons.
Ukraine observed population_year2023=37732836 persons.
