Record: Uruguay (URY), indicator=Total_Population
Uruguay observed population_year2000=3266206 persons.
Uruguay observed population_year2001=3274251 persons.
Uruguay observed population_year2002=3278867 persons.
Uruguay observed population_year2003=3281186 persons.
Uruguay observed population_year2004=3283148 persons.
Uruguay observed population_year2005=3285771 persons.
Uruguay observed population_year2006=3289506 persons.
Uruguay observed population_year2007=3295153 persons.
Uruguay observed population_year2008=3302177 persons.
Uruguay observed population_year2009=3310091 persons.
Uruguay observed population_year2010=3318580 persons.
Uruguay observed population_year2011=3326825 persons.
Uruguay observed population_year2012=3335401 persons.
Uruguay observed population_year2013=3345337 persons.
Uruguay observed population_year2014=3356334 persons.
Uruguay observed population_year2015=3368017 persons.
Uruguay observed population_year2016=3379283 persons.
Uruguay observed population_year2017=3388438 persons.
Uruguay observed population_year2018=3394534 persons.
Uruguay observed population_year2019=3397206 persons.
Uruguay observed population_year2020=3398968 persons.
Uruguay observed population_year2021=3396695 persons.
Uruguay observed population_year2022=3390913 persons.
Uruguay observed population_year2023=3388081 persons.
