Record: St. Vincent and the Grenadines (VCT), indicator=Total_Population
St. Vincent and the Grenadines observed population_year2000=113545 persons.
St. Vincent and the Grenadines observed population_year2001=113501 persons.
St. Vincent and the Grenadines observed population_year2002=113347 persons.
St. Vincent and the Grenadines observed population_year2003=113141 persons.
St. Vincent and the Grenadines observed population_year2004=112835 persons.
St. Vincent and the Grenadines observed population_year2005=112450 persons.
St. Vincent and the Grenadines observed population_year2006=112014 persons.
St. Vincent and the Grenadines observed population_year2007=111531 persons.
St. Vincent and the Grenadines observed population_year2008=111028 persons.
St. Vincent and the Grenadines observed population_year2009=110508 persons.
St. Vincent and the Grenadines observed population_year2010=109959 persons.
St. Vincent and the Grenadines observed population_year2011=109349 persons.
St. Vincent and the Grenadines observed population_year2012=108736 persons.
St. Vincent and the Grenadines observed population_year2013=108135 persons.
St. Vincent and the Grenadines observed population_year2014=107535 persons.
St. Vincent and the Grenadines observed population_year2015=106960 persons.
St. Vincent and the Grenadines observed population_year2016=106349 persons.
St. Vincent and the Grenadines observed population_year2017=105663 persons.
St. Vincent and the Grenadines observed population_year2018=104926 persons.
St. Vincent and the Grenadines observed population_year2019=104167 persons.
St. Vincent and the Grenadines observed population_year2020=103526 persons.
St. Vincent and the Grenadines observed population_year2021=102841 persons.
St. Vincent and the Grenadines observed population_year2022=102046 persons.
St. Vincent and the Grenadines observed population_year2023=101323 persons.
