Record: Zambia (ZMB), indicator=Total_Population
Zambia observed population_year2000=10017631 persons.
Zambia observed population_year2001=10325185 persons.
Zambia observed population_year2002=10647949 persons.
Zambia observed population_year2003=10983595 persons.
Zambia observed population_year2004=11338198 persons.
Zambia observed population_year2005=11718819 persons.
Zambia observed population_year2006=12129553 persons.
Zambia observed population_year2007=12565085 persons.
Zambia observed population_year2008=13021324 persons.
Zambia observed population_year2009=13490389 persons.
Zambia observed population_year2010=13965594 persons.
Zambia observed population_year2011=14437796 persons.
Zambia observed population_year2012=14913629 persons.
Zambia observed population_year2013=15398997 persons.
Zambia observed population_year2014=15895315 persons.
Zambia observed population_year2015=16399089 persons.
Zambia observed population_year2016=16914423 persons.
Zambia observed population_year2017=17441320 persons.
Zambia observed population_year2018=17973569 persons.
Zambia observed population_year2019=18513839 persons.
Zambia observed population_year2020=19059395 persons.
Zambia observed population_year2021=19603607 persons.
Zambia observed population_year2022=20152938 persons.
Zambia observed population_year2023=20723965 persons.
